(cord#neutral)(battery life#positive),I charge it at night and skip taking the cord with me because of the good battery life.
,"While many people brag about Mac being ""intuitive"", it does take a little time to adjust to coming from a PC, but once I got the hang of it, I don't want to go back."
(extended warranty#negative),"Because we did not purchase the extended warranty in time, we are on the hook for the repair."
(charging#negative)(charge#negative)(charge#neutral),"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read, for example, ""74%, plugged in, not charging""), requiring me to unplug it and plug it back in several times to get it to charge."
(shipped#positive),This laptop looked brand new and was shipped very quickly.
,"If you are looking for something reliable, this is the laptop for you."
(Windows#negative)(kernal#negative),"Info: Windows failed to load because the kernal is missing, or corrupt."
(display#positive)(battery life#positive),"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent."
,Most laptops and notebooks are difficult to key on.
,"We didn't because it was already over 2,400 dollars!"
(quality#negative),"But the quality, in general was less than the worth of the cheap laptop."
(hardrive#negative),In the first moth of owning this computer its hardrive failed which had to be replaced.
(use#positive),Its also FUN to use!
(graphics#positive)(screen#positive),"The graphics and screen are stunning and although I was a PC person, I was able to understand how to use a mac fairly quickly."
(upgraded memory#positive)(applications#neutral)(running#positive),"WIth the upgraded memory, the MacBook Pro never has an issue running many many applications at once!"
(graphics#positive)(use#positive),"Simple to use, and great graphics."
,It still serves me well both in business and home needs.
,"I use my friends and family's $2000 laptops and they are fast and reliable and HP, well, I'll never buy or recommend an HP to anyone!"
,My MacBook is probably the best investment I have ever made.
(internet speed#positive),The internet speed is spectacular.
(call center#negative),They claim call center is still down.
(apps#positive)(programs#positive),Mac also has many apps and programs that are quite cheap or free.
,If you shop around in the current market you can find a much better deal.
,I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues!
,You will love this macbook if you choose to buy it.
,My house is now 100% Macbook.
,"They're not safe, they're not durable, they just a worthless."
(games#neutral),"My husband uses it mostly for games, email and music."
,  I have had no luck with staples or HP to resolve this problem.
(cords#positive),I just took the broken cords into the Apple store and they gave me new ones.
,My Mac is much more efficient than a PC so it does not need the extra bells and whistles to compete.
,It WORKS!
,You just lose a customer.
,"I ve had several calls lasting more than an hour with promises to call back, but the return calls never came."
(screen#neutral)(screen#neutral),"Apparently under the screen there are 2 little screws and when the screen gets moved back and forth, they come loose."
(OS#neutral),"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around."
(fan#negative),The computer will constantly be getting hot and burning your leg unless you go through the hassle of taking off the entire back of it just to clean out the fan.
(edges#negative),"I have in the past gotten superfine sandpaper and ""fixed"" the edges by rounding them off."
,I hate it!
,returned it.
(edges#negative),Downfalls: sharp edges.
,It is a cheap throw together.
(carry#neutral),i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.
,"I would recommend Mac, and do, to anyone looking to buy a new computer."
(screen#positive),The screen is gorgeous - yummy good.
(size#negative)(weight#negative)(keyboard#negative),"Did I mention everything about it, from size to weight to keyboard screams BULK?"
,Can't wait until I go on vacation and take it with me.
,Good bye BLUE SCREEN and Critical errors!!!!
(disc drive#negative),I had it four months when my disc drive refused to open.
(hard drive#neutral),"So, after Apple replaced the hard drive I enjoyed another 4 months of my new computer, until it froze this morning--completely."
(power supply#negative),"Once again, I was told it was the suspicious  power supply  problem."
,It easily fits into most computer bags but doesn't weigh down a backpack or satchel when being carried with spirals and/or textbooks.
(display#positive)(starts#positive),"The Macbook starts fast, doesn't crash, has a fantastic display, is small and light (I have the 13.3"" model), and isn't always complaining about updates, lost connections, errors, blue screens, etc."
,"It was kind of a rebellion against PC in fact, and I am certainly glad I did."
(boot up#negative),Unable to boot up this brand new laptop.
(Pages#positive)(Keynotes#positive),"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations."
(hard drive#negative)(mother board#negative)(dvd drive#negative)," I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!"
,"I really don't like it, but I am stuck."
(hinge#neutral),"The guy then said that if I insist on having the hinge tightened, they can do it for me but I have to accept the condition after the ""repair""."
(motherboard#neutral)(port#neutral)(plug#negative),"The port is secured to motherboard so when this  happens you can't see the plug at all, it's just gone."
,-Stay away from MacHouse Amsterdam.
,Once again apple stands alone at the top of the charts.
(key board#positive)(trackpad#positive),"I love the feel of the key board, as well as the trackpad."
(power#positive)(ease#positive),Now I have the best of both worlds with all of the power and ease of the Mac!
,These new problems were the final straws;
,"  luckly i had a student task force able to help, or else it would have crashed within the first year."
,"That seemed to solve the problem, till I wrote an article with semicolons in it."
(use#positive),Ease of use is just one of the benefits I love about my Mac.
(Touchpad#neutral),-Touchpad will take a bit of time to get used to.
,We both recently got new laptops.
,I've been a PC user and I just finally switched and I am never going back.
,I got the Macbook and he got a Macbook Pro.
,Winters is on it's way and I imagine it will be cozy.
,I bought this laptop about a month ago to replace my compaq laptop.
(connection card#neutral)(warranty#negative)(warranty#negative),Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.
,Will certainly use MacConnection again.
(4GB of RAM#neutral)(8GB of RAM#neutral),"But, buy this model and just purchase 4GB of RAM (2x2GB for $92 or 1x4GB for $99), and save yourself $100 than the other model with 8GB of RAM."
,this is one of the reasons I purchased it.
,"Instead of taking another chance on Toshiba, I went with an Asus G73JH-x3."
,"She told me flatly, ""It's like that one."
(game#neutral),"If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market."
,It is the easiest computer I have ever used
,"So you might ask, what did Apple do for me?"
(Browsing#positive)(itunes#positive),"Browsing, also, was no problem for me when I used itunes ( which usually slows down my PC )."
,Should be there by the end of the week (again...).
(price#positive),"Again, decent comp for the price, and I was in need of one quickly as my other laptop died on me."
(setup#negative),so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop.
,"I just got this laptop for college, and so far I am very happy with it."
,"tosiba has a good reputation, my llast computer was an acer."
(motherboard#negative),"My friend just had to replace his entire motherboard, so did my wife, and it looks like I will have to as well."
(Toshiba customer services#negative),"  Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another, and I am not kidding you, I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again, since they make it sound like they don't have your history list of your calls right in front of them."
(Quality Display#positive)(performance#positive)(quality#positive),Quality Display  I was surprised with the performance and quality of this HP Laptop.
(battery life#negative),The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.
(internet capabilities#positive),The internet capabilities are also very strong and picks up signals very easily.
(High definition quality#positive),"Its fast, has High definition quality in the videos."
,They transfer you around to other people who do not understand what you are saying and you can't understand what they are saying.
(Speakers#conflict),"Speakers don't get that loud, but good enough."
,I have had it 9 months and it is already a $250 loss.
(Beast graphics#positive),Another Great thing is the Beast graphics.
,  I was WRONG!
(set up#positive),The ease of set up was terrific.
(wall charger#neutral)(battery#positive),Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.
(Screen#conflict),"Screen is crystal clear, yes it's small - but it's a netbook!"
,So this review might be a tad bit bias.
,"This was around three years, maybe four years ago."
(battery life#negative),The battery life is probably an hour at best.
(windows vista system#neutral),This is a review of windows vista system.
,She said its very user friendly.
,"Kind of annoying, but I still love the laptop."
(Function keys#neutral),"cosmetically, the only thing they changed was 2 of the Function keys at the top."
,"I am very happy I bought this Mac, well worth the extra money."
(BIOS#negative),But sadly the replacement froze-up while updating the BIOS again and shut down and would not turn back on.
(Vista#negative),  There's literally no way to make it sing with Vista.
,"After looking at all the pros and cons, I decided on the Macbook Pro."
(Screen size#positive),Screen size is perfect for portable use in any environment.
(push button#negative)(lid#neutral),"First, it does not have a push button to open the lid."
,Hope this helped!
(Pentium 4#neutral)(1 GB ram#neutral),"I used to build my own desktops from the component parts, and recently my 7 year old Pentium 4 with HT 1 GB ram SATA desktop stopped working (this was a rock star 7 years ago)."
(Windows#positive),I now realize that my $900 would have been better spent on a Windows laptop.
,"Please, anyone who is considering getting this computer, stop."
,This laptop serves all my needs.
(word processor#negative),) And printing from either word processor is an adventure.
,Very satisfied.
,Do not  buy it!
,-Estimated time to fix it: 10 working days or less.
(interface device#negative),"After purchasing this thing, I find out that I need a special interface device to connect my camera, and that it cannot be purchased at the store - only on line."
,I had my computer custom built from Sonystyle.com.
(included program#negative),Another included program that is laughable is the chess game.
(expese#negative),"Yes, I thought the expese was a little much, but I now realize you get what you pay for."
(Microsoft Office apps#positive)(internet use#positive),"It works great for general internet use, Microsoft Office apps, home bookkeeping, etc."
,I will not buy another one.
,Time will tell.
(price#positive)(quality#positive),"The price was very good, and the product is top quality."
,This computer is really fast and I'm shocked as to how easy it is to get used to...
(games#neutral)(aero#neutral),It played various games without problems and ran aero smoothly and flawlessly.
(hard drive#neutral)(battery#negative),After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.
(screen#negative),  The screen almost looked like a barcode when it froze.
,I have found a lot of online sources to help me but think that I would have learned a lot quicker if I would have taken the class.
(operation#negative),"From the get-go, the M6809 was unsteady in its operation;"
,She tells me about it all the time but I tend to shut off all cognitive functions when she gets that yapper going.
,I could not even put my entire music collection on this garabage.
,One of the wonderful things about Macs is that they are virus free.
(screen#positive),"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get everything done."
(webcam#positive)(Skype#positive),"It even has a great webcam, and Skype works very well."
(machined aluminum frame#positive)(keyboard#positive),"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used."
(parallels type program#positive)(software#positive),You can even run a parallels type program easily and run any leftover PC software that you absolutely cannot be without.
(design#positive),This computer I used daily nice compact design.
(ATI graphics card#positive)(Intel built-in card#positive)(games#neutral),"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft."
,"I practically have a new laptop with all the ""fixes"" they have done!"
,"Finally, I purchased a Toshiba."
(handle#negative)(operate#negative),It was hard to handle and operate at school.
,You may just lose 1 customer for now.
(features#positive)(speed#positive)(power#positive),It has easy to use features and all the speed and power I could ask for.
(power supply cord#negative)(Applecare warranty plan#positive),"My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan."
,"Many thanks, Overstock.com."
,I love it and the change in lifestyle that came with it.
,")only to get another ""HP/Compaq"" piece of crap."
(13 inch#positive),I preferred the fit and feel of the 13 inch.
(power supply#negative),power supply went bad after 2 weeks --
,Emachines says they're waiting for a part and refuses to replace entire unit.
(screen#negative),"The screen takes some getting use to, because it is smaller than the laptop."
(use#negative),I regret buying it before understanding how awful it is to use.
(right speaker#negative),The right speaker did not work.
(support#negative),  Dealing with the support drone on the other end of the chat was sheer torture.
(Final Cut Pro#positive),"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac."
(runs#negative),"The computer runs extremely slowly, whether opening Word or My Computer."
,But I am glad to have gotten mine right before they stopped making it.
(Mac Snow Leopard O/S#positive)(Win XP#neutral)(Visa#neutral)(Win7#neutral)(use#positive),"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7."
,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.
,I've always used PC's for work home and this is my first experience with a Mac.
,"i asked many people, search on the net and also read reviews here in best buy."
(Startup#neutral)(shutdown#neutral)(resume from sleep#neutral),"Startup in about 30 seconds, shutdown in 2-4 seconds, resume from sleep in 0-2 seconds."
(screen#positive)(keyboard#positive)(fit#positive),"The screen is nice and the images comes very clear, the keyboard and the fit just feels right."
,I returned it to Best Buy on the ninteenth of April.
(Windows#neutral),I have only had PCs with Windows before so this takes a little getting use to.
,I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!
,I had left my regular laptop at home and needed something to use while out of town .
,"Summary: After doing some investigation on the web, I have found that Toshiba NB205s are not chronically not booting."
(processor#positive)(graphics card#positive),super fast processor and really nice graphics card..
(size#positive)(external keyboard#neutral)(mouse#neutral)(monitor#neutral),"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video."
,"I Contacted HP  about this situation and was given excuses, without results."
,You know what? I happened to buy a defective blood pressure monitor a week ago at the Bukit Batok Polyclinic NHG Pharmacy a week ago.
(windows 7 system#negative),The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.
(weight#negative)(size#negative),"I dislike the weight and size, cubersome."
(wheel#negative),The wheel that turns the volume up and down doesn't work in real time.
,I can't even install one of the 3 printers I have in my house so I am unable to print.
(service#positive),I cannot be happier with the service or product.
,Everything was so easy.
,"To list a few: They tend to get hot enough to cause 3rd degree burns, as well as ignite any flamable material if near the part that happens to heat up."
,Got this for a graduation gift for my daughter for her to use at college.
(flatline keyboard#positive),"I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well."
,"After 5 months of failed repairs, requested a full refund but was refused and it still is not repaired and Acer is indifferent to the issue."
,The Toshiba laptop was a great purchase.
,"After years of using PCs, a new Mac user is basically forced to re-learn how to use a computer."
(Speakers#negative),Speakers doesn't sound that great.
,You better believe my next computer will be a MAC!
,I love it!
(windows 7#positive)(ergonomics#negative)(connections#negative),"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time."
,Now that I have it I see that I really needed this for much more.
(Applecare tech support#negative),"After numerous calls to Applecare tech support, I was directed to send in my computer;"
(power plug#negative),"The ""abuse"" is that I pushed the power plug in too hard."
,"It is easy to find documents, and keep them in one area."
(resolution on the screen#positive),The resolution on the screen is almost pure HD.
(programs#neutral)(iLife#neutral)(iWork#neutral),"With all the programs that came with it, such as iLife and iWork, I was set from the very beginning."
(gaming#negative),"Not sure how I recommend it for quality gaming, as I have a desktop rig for that reason."
,"I bought this netbook for traveling, and it's great - light, functional, and meets my needs."
,Easy learning curve.
,"I go to purchase it on line, and I find out that the device will not be available until almost two months later!"
,dell is a decently made pc.
(delivery#positive)(value#positive),"Great value, fast delivery- Computer works as if brand new, no problems, very pleased"
(Internet Explorer#negative),The Internet Explorer was very slow from the very beginning.
(AC power port#negative),The AC power port becomes loose over time
,Best Buy laughed when I told them they should replace it instead of expecting me to be without a computer again for another couple of weeks.
(running system#positive),"As a user of a PC, I will will admit that the macBook Pro has a better running system in which I found myself ""Getting the job done quicker."
,The computer would not ever cut back on.
,The ease in which you set everything up is such that a child could do it.
,i would have to say that overall its great!
(programs#negative),"There are no gold key numbers too intall programs, you must use the serial numbers that it does not accept and then things are limited as far a working because they are only good for a short time."
(power supply#positive)(power supply#negative),and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.
,It's the inside that is truly wonderful.
(force#positive)(durability#positive),Enjoy that Toshib force and durability unparalleled
,I purchased this laptop 9 months ago!
(Vista Business#positive),Which is great I am running Vista Business and scored a 5.X on the index I have never seen a windows machine have a total score in the 5's.
,Returning this as soon as I get out of work
(surf the web#neutral),"I use the computer to basically check emails, surf the web, print coupons and for my college papers."
,This unit is not.
(size of the screen#positive)(tote#positive),"We love the size of the screen, although it is still lightweight and very easy to tote around."
,"They aren't worth the money, even though they are on the cheap side, laptop speaking."
,"Either way the entire thing was just a joke, a complete rip off!"
(work#negative),so the fact that the computer does not work on the 24 twenty fourth day is my fault.
,So glad I decided to upgrade!
(use#positive),"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer."
(battery#negative),  the battery is irreplaceable.
,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!"
(Win 7#positive)(2GB stick of memory#positive),"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more."
,It's catatonic.
(Norton#negative),"I have never really been big on downloading anything so I wasn't too worried about getting a virus, plus I thought I was protected by Norton."
(internet#negative)(command prompt#negative),"The internet was locekd and froze every time it was trying to be used, and the command prompt would not work at all."
(software#positive)(speed#positive),It's software and speed enable it to do amazing things.
,The Toshiba Satellite laptop is  DESIGNED  to fail !
,"He came into my house, fiddled around on the computer for a good forty minutes and got ready to leave before it was even done doing what he was doing to it."
,"My wireless provider confirmed my home internet is fine, and any connections I turn on should work."
(hard drive#negative),Could not keep up with me and finally the hard drive went out.
,I could have purchased a cheap computer to do what I'm doing now!
(programming#positive)(iPhoto#positive),"I am most impressed with the programming, including the iPhoto."
(Speakers#negative),Speakers too small to be of any real use.
(RAM#positive),"I upgraded it's RAM to 2GB, I am very happy with it."
,This is a great computer.
(speakers#positive),I purchased a Toshiba Satellite M60 (with harman/kardon speakers!) in December of 2005.
,Dismantle the whole thing? Then it will not be a newly manufactured set like before.
(memory#negative)(Vista#negative),They should have included more memory on their computers if they knew Vista would run slowly.
(Battery life#negative)(price#positive),Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!
(battery#negative)(charge#negative)(charge#negative),"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes."
,It wouldn't fit in most 17-inch bags.
,The first time it crashed was maybe going on a year and a half of having it.
(warrenty#neutral)(hard drive#negative),  After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.
,I paid $800 for this computer from my school campus bookstore.
,It is small enough to fit in one of my purses!
(Windows 7 Starter#positive),"The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics."
,"I was very worried about making the two compatible- but literally, it was so simple I was almost worried that I was doing something wrong."
,Note that I don't ordinarily take the time to write a review.
(icon list#positive)(desktop icons#negative),The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.
(warranty#negative),I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.
(price#positive)(performance#positive)(built#positive)(look#positive),"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance."
,"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them."
(apple care#positive),"The apple care has never failed me, and I expect it to be the same for this computer as well."
,Buyer Beware.
,It has served my needs quite nicely for the most part.
(use#positive),The Toshiba laptop I am using is easier to use than most I have tried.
(warranty#neutral),"So I called Compaq, and after being on the phone for 3 hours, i finally got a replacement which I shouldn't have had a problem getting since it was under warranty."
(work#negative),So we exchanged it for the same on and after 2 hours it didn't work.
,do not buy you will be disappointed.
,I just recently had to ship my laptop back to HP for repair.
,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!
,We don't Mind and You don't Matter.
(size#positive)(keyboard#positive)(functions#positive),"I love the size, keyboard, the functions."
,But as time went on I found it almost impossible to keep the thing on-line through wi-fi.
(mouse#negative),the mouse is way way way to sensitve.
,Toshiba knows there is a manufacturing defect but will not acknowledge it.
(OS#positive)(run#positive),The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.
(screen#negative),"Also, I issued a replacement RMA for a few dead pixels in the upper zone of the screen, which is noticable to me."
,"Waited on getting this computer, but it has been a great change."
(delivery service#negative),"After way too many times sending the thing in for repairs (delivery service was slow, and without the laptop I had no access to the internet, and thus no way of tracking it to find out when I might hope to see my computer again), it finally kicked the bucket after just over 2 years."
(performance#positive)(picture quality#positive)(use#positive),"My friend reports the notebook is astonishing in performance, picture quality, and ease of use."
(i3 processor#positive)(fan#positive),the i3 processor doesn't seem to run hot and the fan rarely turns on.
,I was getting extrememly frustrated when I would want to do these simple taks that I would have to wait and wait and wait for things to download or virus that would clog up my PC.
,Enjoy your sitdown
(battery#negative)(charge#negative)(charge#negative),"  The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes."
(mousepad#neutral)(keys#neutral)(casing#neutral),"  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing."
,I have had my new Macbook Pro i5 for a couple of days and have recycled ALL of my old PC laptops.
(operating system#neutral),See when it comes to laptops you buy it and get just a normal operating system with trials of must need stuff that should come with it.
(resolution of the screen#negative),"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail."
(touchpad#negative),"The only thing I wish this had was the option to turn off the touchpad with a button like my big 16"" laptop does."
(battery life#positive),very convenient when you travel and the battery life is excellent...
(boot up#negative),  The machine is slow to boot up and occasionally crashes completely.
(charge#positive),This is great if you have several lectures back to back and don't have a chance to charge during one of the lectures.
(OS#neutral),I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.
,At first it's like you're in that honeymoon stage with your laptop.
,I didn't want to buy a generic brand computer but it is really nice.
,i can use it for all of my needs.
,"After doing CAD work all day at work, using a higher end PC, I couldn't come home and settle for the use of a lower end computer."
(screen brightness#neutral),the screen brightness automatically adjusts.
(backlit keyboard#positive),I especially like the backlit keyboard.
,Either way I'm furious.
(look#positive),"Besides the great look, it is a great machine."
(cost#negative),"My laptop cost approximately $2,300 and DIED after only 2-years, 10-months and 18-days of use."
(sound#negative),"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones."
,I was not aware that this product cannot display websites that contain Flash.
,"This computer was bought because I wanted ""top of the line"", fast, reliable, HA."
,A lot of help they WEREN'T!
(SATA controller#neutral)(motherboard chip#neutral)(CPU#neutral)(hard drive#neutral),(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.)
,I will never buy anything from HP again!
,I can't imagine EVER buying a PC again!
(buttons#negative),The buttons you have to press a little harder than most.
(battery life#negative)(battery#neutral)(battery#negative),"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours."
,It allows you to automatically upload photos to your Facebook account with one click.
,Took it back as it was defective.
,"Other Thoughts: I love newegg, I recommend them to the world however this is just unacceptable."
,Now 17 months later they want (would not say exact amount) $165.00 to $400 to fix the machine.
,I simply got tired of a bad computer like windows with its constant freezing and anti-virus.
,"I am not one to throw things like this around but it is a laptop so carrying it around does seem to mean it will be jerked possibly a little, while driving a car and carrying it into where ever you are using it."
(size#positive)(weight#positive)(portability#positive),Right size and weight for portability.
,We decided we would try to trade-in our old ones.
,"So far, so good!"
,It took a little over 2 weeks until i got it back.
,Eventually the screen went blank and the computer would not turn on.
(battery life#negative),The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.
(Windows Vista Home Premium#neutral)(1GB of RAM#negative),"  It was loaded with Windows Vista Home Premium--delivered with only 1GB of RAM, and it was a *dog*."
,What a waste of time it was to run a Defrag on the PC!
(display#negative)(brightness#neutral),The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.
(electronic fuzz sound#negative)(headphone jack#negative),My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.
,This system is not worth the money or trouble trying to get it fix.
,"UPDATE: Two years after buying this laptop, I am now the proud owner of a lemon."
(keyboard#neutral),"While it was highly rated, would I like it? I tried the keyboard at the store, and it seemed ok."
(quality#positive),"Treat yourself to a more expensive, long-lasting laptop of quality like a Sony, Apple, or Toshiba."
,I love it - never had a computer I was so impressed with - and I've had a lot of laptops and desktops - this one is FAR AND ABOVE THE BEST ONE I EVER HAD BEFORE.
,We did not even have it a year.
(warranty#neutral),"I have had to call with a few questions or issues and they have helped me for free, even without the warranty."
,So you out of of notebook and money.
(power supply#neutral),Was searching online for a power supply when I found this site.
(gaming#neutral)(graphics editing#neutral)(complex data analysis#neutral),"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming."
(costs#negative),  I would  rather spend my money on a computer that costs more then a Toshiba that  isn't good at all.
(shipping#positive),(No problem with the ordering or shipping by the way.
(ram#positive)(performance#positive)(surf the web#positive),And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.
(hardcopy manuel#negative),The one thing I wish it had was a detailed hardcopy manuel.
(drive#negative),"I edit and burn to DVD a lot of video, so I obviously could not live with a non-functioning drive."
(visual#positive),"Fast, great visual!"
(priced#positive)(works#positive),It's priced very reasonable and works very well right out of the box.
(OS#neutral),You will need them if you want to reload the OS (I recommend doing if you can to start fresh and optimal).
,"apple and quess what, you have to send the whole laptop in, too bad, so sad"
,If you could stretch by a few 100 dollars I highly recommend you should replace your Windows laptop with this one.
,"might have to buy one for me now, since I use it all the time."
(keyboard#positive)(plate#negative)(mouse command buttons#negative),"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons."
,I purchased it this year when my old HP laptop finally died and I was looking for something smaller and lighter than a laptop to carry around for classes and traveling.
,I Have a friend who has the other model and we put them side by side with the same dvd in (battle of the Smithsonian) After on Hour mine was at 53% life left and his was at 69% life left.
,The latest is on my LG Netbook X12
,Purchased as a gift for a friend.
,I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.
,I've never had problems with viruses.
,"After they found no other way, they told me to courier it to them(since they don't allow the use of the post office) at my expense, and sent me a 4 page list of very specific packaging instructions to follow or it wouldn't be covered."
(features#positive),There are so many wonderful features and benefits to the new MacBook!
(speeds#positive),the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds.
(touch pad#negative),The only thing i can say is that the touch pad doesnt work like it should all the time.
(size#positive)(features#positive)(lighted keyboard#positive)(mouse pad#positive),"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad."
(Battery life#negative),Battery life needs more life.
(operation system#negative),For some odd reasons the computer doesn't reconize the operation system.
,I had to wait 3 weeks to get it back and it still is not working properly.
,I am going to go back and return at Store I bought from!
(trackpad#positive),The trackpad was easy to learn and navigate.
(Applications#positive),"Applications open in seconds and there are no lags, hiccups or awkward moments when you wonder whether your computer is out for tea."
,My husband purchased a laptop at the same time for about $300 less (he got a pc).
(hard drive#negative),I respond that I do not have the old computer and this way I would lose the data on my hard drive.
(Windows#neutral)(Warrenty#neutral)(agents#negative),Again in February my computer completely failed to the point that it could not load Windows so I contacted Acer to get it fixed thru my Warrenty and it took about 3 days fighting on the phone with agents and it seemed as though NONE of them spoke English.
,I think this ps was manufactured in the mid 90's.
,both upgrades were quickly accomplished after purchasing the necessary Product Key.
,I have owned it only two months!
,I love my macbook pro!
,From the moment I opened the box to the present it has been a great joy.
,I bought this eMachines Notebook PC in January of this year and I am highly dissatisfied with it.
(keyboard#negative),Even though the computer is larger they did not make the keyboard larger.
,"Thanks, MacConnection, for making this a seamless purchase!"
(three year warranty#neutral)(extended warranty#neutral),We paid for the three year warranty and the extended warranty after that one ended as well.
(internet#negative),"Its not just slow on the internet, its slow in general."
(RAM#positive)(memory#positive),It has just enough RAM to run smoothly and enough memory to satisfy my needs.
,The difference is phenomenal.
(Nvidia grafics card#negative),"I acually believe the issue is with the Nvidia grafics card, but still requires a return."
,I am a freelance graphic artist.
,"No waiting to have my claim reviewed by someone in another state (or more often, another country)."
,I did not like my acer.
(work#negative),My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days.
,  Problem fixed which is great but there went another two weeks without my laptop at school.
(resolution#positive),The resolution is even higher then any other laptop on the market.
"(left ""mouse"" button#negative)","Then just the other day, my left ""mouse"" button snapped!"
(keyboard#positive)(feature#positive)(type#positive),It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.
"(casing#negative)(15""#neutral)(17""#neutral)","Laptop is advertised as a 15"" but the casing looks like that of a 17""."
,  Remember to do your research first before consider buying a toshiba product.
,I bought this laptop the moment unibody product came to the market.
,The only time I have restarted is during system updates.
,mac is extremely different than any other laptop.
(feel#positive),The feel of this machine compared to the old MacBook is far superior.
(hard disc#negative),"In due course, I'll remove the hard disc from this new MacBook Pro and dump it where it belongs - in the trash."
,"It's great and we will always stick with Apple computers, we have been so happy with them."
